ID,Text,Translation
1000724,<u(name)>,<u(name)>
1000733,<color 128 128 128><u(EditorName)></color> <Description> <color 0 0 255><u(comment)></color>,<color 128 128 128><u(EditorName)></color> <Description> <color 0 0 255><u(comment)></color>
1000863,Please enter a valid identifier,Vui lòng nhập số nhận dạng hợp lệ
1000865,"Option <name> = <DefaultValue> <color 0 128 0><opt(u(comment),' ','')>","Tùy chọn <name> = <DefaultValue> <color 0 128 0><opt(u(comment),' ','')>"
1000866,"Option <name> = <u(v)> <color 0 128 0><opt(u(comment),' ','')>","Tùy chọn <name> = <u(v)> <color 0 128 0><opt(u(comment),' ','')>"
12360,Mod,
12354,Major Version,Phiên bản chính
12355,Minor Version,Phiên bản nhỏ
12459,"The following mods will not be loaded because of missing or incompatible dependencies:

<skipped>","Mod sau sẽ không được tải vì thiếu hoặc không tương thích với phụ thuộc:

<skipped>"
1000040,Please enter a valid name,Xin vui lòng nhập tên hợp lệ
1000041,A code item with that name already exists,Mục mã có tên đó đã tồn tại
1000042,File name,Tên tệp
1000043,Preview,Xem trước
1000044,Error creating <file_name>,Lỗi khi tạo <file_name>
1000594,Error,Lỗi
1000045,Information,Thông tin
1000046,Your code has been loaded and is currently active in the game.,Mã của bạn đã được tải và hiện đang hoạt động trong trò chơi.
1000729,Copy from group,Sao chép từ nhóm
1000047,Copy from,Sao chép từ
1000730,<u(id)>,<u(id)>
1000050,Invalid entity filename,Tên tệp thực thể không hợp lệ
1000051,Failed to create path <u(entity_root)>,Không tạo được đường dẫn <u(entity_root)>
1000052,Importing entity <u(entity_name)>,Thực thể nhập khẩu <u(entity_name)>
1000053,Failed to copy entity <u(entity_name)> to <u(dest_path)>,Không sao chép được thực thể <u(entity_name)> sang <u(dest_path)>
1000054,Failed to open entity file <u(dest_path)>,Không mở được tệp thực thể <u(dest_path)>
1000056,Failed to copy <u(src)> to <dest>,Sao chép không thành công <u(src)> sang <dest>
1000057,Importing <asset_type> <u(asset)>,Nhập khẩu <asset_type> <u(asset)>
1000058,Missing file <u(src)> referenced in entity,Tệp tin hỏng <u(src)> được tham chiếu trong thực thể
1000059,mesh,lưới
1000060,animation,hoạt hình
1000061,material,vật liệu
1000062,texture,
1000055,Failed to create path <u(dest_path)>,Không tạo được đường dẫn <u(dest_path)>
1000063,Failed to generate backup for <u(asset)>,Không tạo được nhân bản lưu cho <u(asset)>
1000064,Mod: <ModLabel> Entity: Failed to load <u(entity)>,Mod: <ModLabel> Thực thể: Không tải được <u(entity)>
12064,Failed creating entity file: <u(err)>.,Không tạo được tệp thực thể: <u(err)>.
12067,Failed copying UI icon: <u(err)>.,Không sao chép được biểu tượng UI: <u(err)>.
12061,Failed importing decal,Không nhập được decal
12068,Failed creating material file: <u(err)>.,Không tạo được tệp cụ thể: <u(err)>.
12069,Decal imported successfully!,Đã nhập decal thành công!
1000065,Failed to open entity file <u(filename)>,Không mở được tệp thực thể <u(filename)>
1000020,ID,
1000098,Default value,Giá trị mặc định
1000101,Modified value,Giá trị được sửa đổi
1000103,Filename,Tên tệp
1000731,<u(language)>,<u(language)>
1000068,Image,Hình ảnh
1000876,Failed importing texture,Không nhập được texture
12062,"The import failed because the image width and height are wrong. Image must be a square and pixel width and height must be power of two (e.g. 1024, 2048, 4096, etc.).","Nhập không thành công vì chiều rộng và chiều cao của hình ảnh không đúng. Hình ảnh phải là hình vuông và chiều rộng và chiều cao pixel phải là lũy thừa của hai (ví dụ: 1024, 2048, 4096, v.v.)."
1000877,Failed importing texture,Không nhập được texture
1000878,Failed importing texture,Không nhập được texture
12063,Failed creating <u(dir)> directory: <u(err)>.,Không tạo được <u(dir)> thư mục: <u(err)>.
1000879,Failed importing texture,Không nhập được texture
12065,Failed creating compressed image: <u(err)>.,Không tạo được ảnh nén: <u(err)>.
1000880,Failed importing texture,Không nhập được texture
12066,Failed creating fallback image: <u(err)>.,Không tạo được hình ảnh dự phòng: <u(err)>.
1000881,Failed importing texture,Không nhập được texture
1000882,Texture imported successfully!,Đã nhập texture thành công!
1000776,"<EditorColor><id>   <color 30 30 240><type><color 128 128 128><opt(u(save_in), ' - ', '')>","<EditorColor><id>   <color 30 30 240><type><color 128 128 128><opt(u(save_in), ' - ', '')>"
1000777,<GedColor> <file> <color 40 160 40><frequency> <SampleInformation>,<GedColor> <file> <color 40 160 40><frequency> <SampleInformation>
1000775,<GetId>  <color 140 140 140><menu_group>,<GetId>  <color 140 140 140><menu_group>
1000208,Critical Error,Lỗi nghiêm trọng
1000209,Unspecified error occurred (code %s1). The game will now close.,Đã xảy ra lỗi không xác định (mã %s1). Trò chơi bây giờ sẽ đóng lại.
1000210,You need a supported DX11-compatible video card with updated drivers to play this game.,Bạn cần card video tương thích DX11 được hỗ trợ với trình điều khiển được cập nhật để chơi trò chơi này.
1000211,Failed to initialize video mode.,Không thể khởi chạy chế độ video.
1000114,Error,Lỗi
1000115,You need DirectX 11/12 and a DirectX 11/12-compatible graphics card to run this game.,Bạn cần có DirectX 11/12 và card đồ họa tương thích DirectX 11/12 để chạy trò chơi này.
1000116,You need an OpenGL 4.1-capable graphics card to run this game.,Bạn cần card đồ họa hỗ trợ OpenGL 4.1 để chạy trò chơi này.
1000117,You need an OpenGL 4.5-capable graphics card to run this game.,Bạn cần card đồ họa hỗ trợ OpenGL 4.5 để chạy trò chơi này.
1000118,Failed to initialize graphics subsystem.,Không thể khởi tạo hệ thống phụ đồ họa.
1000598,Error,Lỗi
1000597,"An error has occurred: ""<err>/<context>""","Lỗi đã xảy ra: ""<err>/<context>"""
1000835,Some downloadable content requires a game update in order to work.,Một số nội dung có thể tải xuống yêu cầu bản cập nhật trò chơi để hoạt động.
1000836,Failed to save your settings,Không lưu được cài đặt của bạn
1000837,"There is not enough storage space. To save your settings, delete old save data.","Không có đủ không gian lưu trữ. Để lưu cài đặt của bạn, hãy xóa dữ liệu lưu cũ."
1000838,Failed to load your settings.,Không tải được cài đặt của bạn.
1000839,Failed to load game settings. The saved data is corrupted. This saved data will be deleted and new saved data will be created.,Không tải được cài đặt trò chơi. Dữ liệu đã lưu bị hỏng. Dữ liệu đã lưu này sẽ bị xóa và dữ liệu lưu mới sẽ được tạo.
1000840,Unidentified error while saving <savename>!<newline>Error code: <error_code>,Lỗi không xác định khi lưu <savename>!<newline>Mã lỗi: <error_code>
1000841,"There is not enough storage space. To save your progress, delete old save data.","Không có đủ không gian lưu trữ. Để lưu tiến trình của bạn, hãy xóa dữ liệu lưu cũ."
1000842,"The save data limit for this game was reached. To save your progress, delete old save data.","Đã đạt đến giới hạn lưu dữ liệu cho trò chơi này. Để lưu tiến trình của bạn, hãy xóa dữ liệu lưu cũ."
1000843,Could not load <name>.,Không thể tải <name>.
11725,Could not load <name>.<newline>The savegame is corrupted.,Không thể tải <name>.<newline>Lưu trò chơi bị hỏng.
11726,Unable to delete <name>,Không thể xóa <name>
1000212,<arg1>:<arg2>:<arg3>,
1000213,<arg1>:<arg2>,
1000685,",",
1000686,Brazilian Portuguese,
1000687,Bulgarian,
1000688,Czech,
1000689,Danish,
1000690,Dutch,
1000691,English,Tiếng Việt
1000692,Finnish,
1000693,French,
1000694,German,
1000695,Hungarian,
1000696,Italian,
1000697,Japanese,
1000698,Korean,
1000699,Norwegian,
1000700,Polish,
1000701,Portuguese,
1000702,Romanian,
1000703,Russian,
1000704,Chinese (Simplified),
1000705,Spanish,
1000706,Swedish,
1000707,Chinese (Traditional),
1000708,Thai,
1000709,Turkish,
1000710,Auto,Tự động
3548,Borderless,Không viền
3549,Exclusive,Loại trừ
3547,Windowed,Cửa sổ
3550,Fullscreen,Toàn màn hình
1000119,<FormatResolution(pt)>,
1000121,Default,Mặc định
9718,Unlimited,Không giới hạn
12364,Off,Tắt
12365,Low,Thấp
12366,High,Cao
12367,Ultra,
6846,Off,Tắt
6848,Off,Tắt
6849,On,Bật
6850,Off,Tắt
3558,FPS,
3559,ms,
3552,70,
3553,85,
3554,100,
7376,High,Cao
7377,High,Cao
7378,High,Cao
7379,High,Cao
7380,High,Cao
3555,FXAA,
6845,Off,Tắt
3556,2x,
7969,4x,
7970,8x,
8079,16x,
7381,High,Cao
7382,High,Cao
1000122,Display,Hiển thị
1000123,DISPLAY,Hiển thị
1000125,VIDEO,Video
1000126,Audio,Âm thanh
1000127,AUDIO,Âm thanh
1000128,Controls,Kiểm soát
1000129,CONTROLS,Kiểm soát
1000131,GAMEPLAY,Gameplay
1000132,Key Bindings,Tổ hợp phím
1000133,KEY BINDINGS,Tổ hợp phím
1000867,Mod Options,Tùy chọn Mod
1000868,MOD OPTIONS,Tùy chọn Mod
1000134,Change Profile,Thay đổi hồ sơ
1000135,CHANGE PROFILE,Thay đổi hồ sơ
986819749094,"""Activate StoryBit <Id>""","""Kích hoạt StoryBit <Id>"""
636621895399,"<id><color 128 128 128><opt(u(short),' ','')><color 0 128 0><opt(u(owner),' - ','')>","<id><color 128 128 128><opt(u(short),' ','')><color 0 128 0><opt(u(owner),' - ','')>"
222956070647,<id> - <name>,<id> - <name>
396476973183,"<id><color 0 128 0><opt(u(Comment),' - ','')>","<id><color 0 128 0><opt(u(Comment),' - ','')>"
1000883,"droid, 12, aa",
11873,Your attention is required!,Sự chú ý của bạn là cần thiết!
311539924249,"<ChooseColor><id><color 0 128 0><if(not_eq(Trigger,'StoryBitTick'))> (<Trigger>)</if><opt(u(Comment),' ','')><color 128 128 128><opt(u(save_in),' - ','')>","<ChooseColor><id><color 0 128 0><if(not_eq(Trigger,'StoryBitTick'))> (<Trigger>)</if><opt(u(Comment),' ','')><color 128 128 128><opt(u(save_in),' - ','')>"
11874,Param <Name> = <Value>,Thông số <Name> = <Value>
11875,Param <Name> = <Value>%,Thông số <Name> = <Value>%
1000884,"SchemeBk, 19, bold, aa",
743775631440,"droid, 18, bold, aa",
123383656045,"droid, 13, bold,  aa",
1000391,"droid, 18, aa",
1000829,"droid, 13, aa",
1000384,"droid, 13, bold, aa",
553398311340,"droid, 10, aa",
1000674,"SchemeBk, 13, aa",
12368,"droid, 13, bold, aa",
997,"SchemeBk, 15, aa",
1000672,"SchemeBk, 21, bold, aa",
1000929,"SchemeBk, 19, bold, aa",
664645814484,"droid, 32, bold, aa",
1000822,"Source Sans Pro, 24, bold, aa",
503373827279,"Source Sans Pro, 16, bold, aa",
1000387,"droid, 16, aa",
1000374,"Mikadan Custom, 22, aa",
1000786,"LibelSuitRg, 22",
816963080858,"LibelSuitRg, 30, aa",
1000403,"LibelSuitRg, 20, bold",
1000217,Checking for downloadable content... Please wait.,Đang kiểm tra nội dung có thể tải xuống... Vui lòng đợi.
1000218,A downloadable content file appears to be damaged and cannot be loaded. Please delete it from the Memory section of the Dashboard and download it again.,Tệp nội dung có thể tải xuống dường như bị hỏng và không thể tải được. Vui lòng xóa nó khỏi phần Bộ nhớ của Trang tổng quan và tải xuống lại.
1000610,You are signed in as a guest. You will be unable to save any game content until you sign in to a non-guest profile.,Bạn đã đăng nhập với tư cách khách. Bạn sẽ không thể lưu bất kỳ nội dung trò chơi nào cho đến khi bạn đăng nhập vào hồ sơ không phải khách.
1000611,Disconnected from multiplayer,Đã ngắt kết nối khỏi nhiều người chơi
1000612,You have been removed from multiplayer because the game was suspended.,Bạn đã bị xóa khỏi chế độ nhiều người chơi vì trò chơi bị tạm ngừng.
1000613,New downloadable content has been installed and will be available after you return to the main menu.,Nội dung có thể tải xuống mới đã được cài đặt và sẽ có sẵn sau khi bạn quay lại menu chính.
1000624,This account has restricted access to multiplayer.,Tài khoản này đã hạn chế quyền truy cập vào nhiều người chơi.
1000625,This account has been banned from Xbox Live.,Tài khoản này đã bị cấm trên Xbox Live.
1000626,An Xbox Live Gold Membership is required to access this feature.,Cần có Tư cách thành viên Vàng của Xbox Live để truy cập tính năng này.
1000614,<gamer>’s controller has been disconnected. Please reconnect it in order to continue your game or press any button on the user’s new controller.,Bộ điều khiển của <gamer> đã bị ngắt kết nối. Vui lòng kết nối lại nó để tiếp tục trò chơi của bạn hoặc nhấn bất kỳ nút nào trên bộ điều khiển mới của người dùng.
1000627,The active controller was disconnected. Please reconnect a controller which is not signed in to a profile in order to continue your game.,Bộ điều khiển hoạt động đã bị ngắt kết nối. Vui lòng kết nối lại bộ điều khiển chưa đăng nhập vào hồ sơ để tiếp tục trò chơi của bạn.
1000628,Controller disconnected,Bộ điều khiển bị ngắt kết nối
1000629,Continue,Tiếp tục
1000630,Controller disconnected,Bộ điều khiển bị ngắt kết nối
1000631,Continue,Tiếp tục
1000844,"<ChooseColor><class></color> ""<name>""<InheritedFromText>","<ChooseColor><class></color> ""<name>""<InheritedFromText>"
1000845,"<PresetColor><id><color 0 128 0><opt(u(Comment),' ','')><color 128 128 128><opt(u(save_in),' - ','')>","<PresetColor><id><color 0 128 0><opt(u(Comment),' ','')><color 128 128 128><opt(u(save_in),' - ','')>"
1000830,<DescribeForEditor>,<DescribeForEditor>
1000219,&Views,&Xem
1000180,&Actions,&Hành động
1000181,&Edit,C&hỉnh sửa
1000182,&Cut,&Cắt
1000183,&Copy,&Sao chép
1000184,&Paste,&Dán
1000185,&Duplicate,&Nhân bản
1000186,&Reload,&Nạp lại
1000220,Refresh,Làm mới
1000223,&Navigate,Đ&iều hướng
1000224,Edit in &New Window,Chỉnh &sửa trong cửa sổ mới
1000225,&Home,&Trang chủ
1000226,&Back,&Sau
1000227,&Forward,T&rước
1000228,Exit Application,Thoát ứng dụng
1000229,Misc,
1000230,Home,Trang chủ
1000231,Previous,Trước
1000232,Next,Kế tiếp
1000233,Copy,Sao chép
1000234,Cut,Cắt
1000235,Paste,Dán
1000236,Duplicate,Nhân bản
12070,Hide/show internal names of properties,Ẩn/hiển thị tên nội bộ của thuộc tính
1000140,Hide/show all properties with default values,Ẩn/hiển thị tất cả thuộc tính có giá trị mặc định
1000756,(<count> objects),(<count> đối tượng)
382402598842,AI Think,AI suy nghĩ
115837567446,Play State Animation,Phát hoạt ảnh trạng thái
111060602383,Play State Animation (Compensated),Phát hoạt ảnh trạng thái (Được bù)
749081088941,Attach/Detach Object at selected SPot,Đính kèm/Tháo đối tượng tại SPot đã chọn
412566026877,Save Animation Speed,Lưu tốc độ hoạt ảnh
829522779120,Menu,
880746921689,Toggle Hex Shapes,Đổi dạng Hex
508734065564,Use as filter,Sử dụng làm bộ lọc
161964752558,Save,Lưu
903761036148,Debug,Gỡ lỗi
12214,Start Register,Bắt đầu đăng ký
12215,Continue Register,Tiếp tục đăng ký
12216,Stop Register,Dừng đăng ký
911432559058,Light model,Mô hình ánh sáng
733835524561,Lower Gain,Mức tăng thấp hơn
623390947398,Save,Lưu
400353986243,Open Folder,Mở thư mục
186760604064,Test,Thử nghiệm
487939677892,Help,Trợ giúp
306015437757,Upload to Paradox for Desktop,Tải lên Paradox cho Máy tính để bàn
234002557625,Login to publish to Paradox,Đăng nhập để xuất bản lên Paradox
342669996355,Upload to Paradox for Desktop,Tải lên Paradox cho Máy tính để bàn
339539320225,Upload to Paradox for all platforms,Tải lên Paradox cho tất cả nền tảng
379115369068,Login to publish to Paradox,Đăng nhập để xuất bản lên Paradox
196944632345,Upload to Paradox for all platforms,Tải lên Paradox cho tất cả nền tảng
672683736395,Unpublish from Paradox,Hủy xuất bản khỏi Paradox
749908082179,Login to unpublish from Paradox,Đăng nhập để hủy xuất bản khỏi Paradox
997911637712,Unpublish from Paradox,Hủy xuất bản khỏi Paradox
455809784082,Upload to Steam,Tải lên Steam
749974209361,Uploading to Steam is unavailable,Tải lên Steam không khả dụng
1000757,Upload to Steam,Tải lên Steam
833734167742,Delete Item,Xóa vật phẩm
1000872,Cut,Cắt
1000873,Copy,Sao chép
1000874,Paste,Dán
1000871,Duplicate,Nhân bản
1000249,Redo,Làm lại
449598530168,Cheats,
1000862,New Attribute,Thuộc tính mới
888280433864,File,Tệp
1000143,New Mod,Mod mới
885629433849,Load,Tải
327465361219,Edit,Chỉnh sửa
408637015506,Delete Mod,
238591151127,Exit,Thoát
886349881945,Cheats,
791482327441,Help,Giúp đỡ
12071,Delete,Xóa
398847925161,New,Mới
189839898492,Copy,Sao chép
1000746,Undo,Hoàn tác
1000222,Redo,Làm lại
377547327617,New Prg,Prg mới
301269983303,Save,Lưu
876718755482,Move Up,Di chuyển lên
882087082346,Move Down,Di chuyển xuống
102133798674,Move Out,Chuyển đi
978910231685,Move In,Chuyển đến
505747953509,Delete,Xóa
1000250,Redo,Làm lại
1000251,Prg,
298035641454,Object,Đối tượng
167400996647,Move,Di chuyển
382567554252,Slot,Vị trí
283142739680,Game,Trò chơi
699872370171,Condition,Điều kiện
699377786748,Play,Chơi
870588944932,New Sample,Mẫu mới
294879472859,Rollover Mode,Chế độ cuộn
464156353043,Inspect Focused Window,Kiểm tra cửa sổ tiêu điểm
437848878733,Toggle Focus Logging,Chuyển sang ghi nhật ký tiêu điểm
986049161052,Toggle Rollover Logging,Đổi ghi nhật ký di chuột qua
741286422920,Toggle Context Logging,Đổi ghi nhật ký theo ngữ cảnh
12217,<NodeColor><class> <color 128 128 128><Id><PlacementText>,<NodeColor><class> <color 128 128 128><Id><PlacementText>
1000252,New Update Available,Có bản cập nhật mới
1000253,Download & Install,Tải về & cài đặt
1000254,Cancel,Hủy
1000255,Download error,Lỗi tải xuống
1000256,"Download failed, please try again later.","Tải xuống không thành công, vui lòng thử lại sau."
1000257,Connected to <host>:<port>,Đã kết nối với <host>:<port>
1000258, game <game>, trò chơi <game>
1000259,<newline>sent <events_sent_ps> received <events_received_ps>,<newline>gửi <events_sent_ps> đã đạt được <events_received_ps>
1000260,<newline>Advance limit <advance>(<more>),<newline>Hạn chế đề nghị <advance>(<more>)
3568,Shadows,Đổ bóng
3569,Textures,Kết cấu
3570,Anisotropy,Dị hướng
3571,Effects,Hiệu ứng
3572,Lights,Chiếu sáng
3573,Postprocessing,Hậu xử lý
3574,Bloom,
8034,Eye Adaptation,Thích ứng mắt
10075,SSAO,
12362,Reflections,Phản chiếu
3575,Antialiasing,Khử răng cưa
3576,View Distance,Xem khoảng cách
7772,Object Detail,Chi tiết đối tượng
3577,Resolution Percent,Phần trăm độ phân giải
3578,Framerate Counter,Bộ đếm tốc độ khung hình
3579,Master Volume,Âm lượng chính
3580,Music,Âm nhạc
3581,Sounds,Âm thanh
7811,Voice,Giọng nói
3582,Mute when Minimized,Tắt tiếng khi thu nhỏ
3592,Hint Notifications,Thông báo gợi ý
7544,Display Area Margin,Biên vùng hiển thị
1000102,Language,
3562,Fullscreen Mode,Chế độ toàn màn hình
3563,Refresh Rate,Tốc độ làm tươi
3564,Vsync,
9714,Frame Rate Limit,Giới hạn tốc độ khung hình
3565,UI Scale,Thang đo UI
3566,Brightness,Độ sáng
1000618,Idle,Nhàn rỗi
3025,Andorra,
3026,United Arab Emirates,các Tiểu Vương Quốc Ả Rập Thống Nhất
3027,Afghanistan,
3028,Antigua and Barbuda,Antigua và Barbuda
3029,Anguilla,
3030,Albania,
3031,Armenia,
3032,Angola,
3033,Antarctica,
3034,Argentina,
3035,American Samoa,
3036,Austria,
3037,Australia,
3038,Aruba,
3039,Aland Islands,
3040,Azerbaijan,
3041,Bosnia and Herzegovina,
3042,Barbados,
3043,Bangladesh,
3044,Belgium,
3045,Burkina Faso,
3046,Bahrain,
3047,Burundi,
3048,Benin,
3049,Saint Barthelemy,
3050,Bermuda,
3051,Brunei Darussalam,Vương quốc Brunei
3052,"Bolivia, Plurinational State of","Bolivia, Bang đa quốc gia"
3053,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius và Saba"
3054,Bahamas,
3055,Bhutan,
3056,Bouvet Island,Đảo Bouvet
3057,Botswana,
3058,Belarus,
3059,Belize,
3060,Canada,
3061,Cocos (Keeling) Islands,Quần đảo Cocos (Keeling)
3062,"Congo, the Democratic Republic of the","Congo, Cộng hòa dân chủ"
3063,Central African Republic,Cộng hòa trung phi
3064,Congo,
3065,Switzerland,
3066,Cote d'Ivoire,
3067,Cook Islands,
3068,Chile,
3069,Cameroon,
3070,Colombia,
3071,Costa Rica,
3072,Cuba,
3073,Cabo Verde,
3074,Curacao,
3075,Christmas Island,Đảo giáng sinh
3076,Cyprus,
3077,Czechia,
3078,Djibouti,
3079,Denmark,
3080,Dominica,
3081,Dominican Republic,Cộng hòa Dominica
3082,Algeria,
3083,Ecuador,
3084,Estonia,
3085,Egypt,Ai cập
3086,Western Sahara,Phía tây Sahara
3087,Eritrea,
3088,Spain,
3089,Ethiopia,
3090,Finland,Phần Lan
3091,Fiji,
3092,Falkland Islands (Malvinas),Quần đảo Falkland (Malvinas)
3093,"Micronesia, Federated States of","Micronesia, Liên bang"
3094,Faroe Islands,Quần đảo Faroe
3095,Gabon,
3096,United Kingdom of Great Britain and Northern Ireland,Vương quốc liên hiệp Anh và bắc Ireland
3097,Grenada,
3098,Georgia,
3099,French Guiana,Guiana thuộc Pháp
3100,Guernsey,
3101,Ghana,
3102,Gibraltar,
3103,Greenland,
3104,Gambia,
3105,Guinea,
3106,Guadeloupe,
3107,Equatorial Guinea,
3108,Greece,
3109,South Georgia and the South Sandwich Islands,Nam Georgia và Quần đảo Nam Sandwich
3110,Guatemala,
3111,Guam,
3112,Guinea-Bissau,
3113,Guyana,
3114,"Hong Kong, SAR of China","Hong Kong, SAR của Trung Quốc"
3115,Heard Island and McDonald Islands,Đảo Heard và Quần đảo McDonald
3116,Honduras,
3117,Croatia,
3118,Haiti,
3119,Hungary,
3120,Indonesia,
3121,Ireland,
3122,Israel,
3123,Isle of Man,Đảo Man
3124,British Indian Ocean Territory,Lãnh thổ Ấn Độ Dương thuộc Anh
3125,Iraq,
3126,"Iran, Islamic Republic of","Iran, Cộng hòa hồi giáo"
3127,Iceland,
3128,Italy,
3129,Jersey,
3130,Jamaica,
3131,Jordan,
3132,Kenya,
